"gid","ix1","ix2","y"
1,5,4,3
1,4,5,3
1,6,4,2
1,5,5,4
1,4,5,3
1,4,4,4
1,4,4,3
1,4,3,3
1,5,4,3
1,2,5,3
1,5,5,3
1,5,5,4
1,4,3,4
1,4,4,4
1,4,4,3
1,5,4,4
1,4,4,3
1,4,5,3
1,4,5,3
1,3,4,1
1,4,5,4
1,5,4,4
1,3,3,2
1,5,6,4
1,6,4,4
1,4,4,3
1,4,4,3
1,3,4,2
1,5,5,3
1,4,3,3
1,4,5,4
1,3,4,2
1,4,3,4
1,5,4,4
1,3,5,4
1,4,5,2
1,4,3,3
1,4,5,4
2,4,5,4
2,3,6,3
2,3,3,2
2,4,3,3
2,5,3,3
2,3,4,3
2,5,6,4
2,6,5,4
2,5,4,2
2,5,4,4
2,5,4,3
2,5,4,3
2,5,2,3
2,5,5,3
2,6,3,2
2,5,5,3
2,6,4,4
2,6,4,4
2,5,5,4
2,3,3,3
2,5,4,4
2,3,4,2
2,6,4,3
2,5,4,3
2,5,3,2
2,5,4,4
2,5,4,2
2,4,5,3
2,6,4,4
2,4,5,2
2,5,5,4
2,5,5,5
2,5,6,4
2,4,5,4
2,5,4,3
2,5,3,3
2,5,4,3
2,5,6,4
2,5,3,3
2,4,3,3
2,3,5,3
2,4,4,3
3,5,4,3
3,5,2,4
3,5,4,4
3,5,4,4
3,5,4,3
3,3,4,2
3,5,5,4
3,5,3,3
3,4,4,4
3,4,3,3
3,4,3,2
3,4,4,2
3,6,6,4
3,6,4,3
3,5,4,3
3,4,3,3
3,4,4,3
3,4,3,3
3,4,5,3
3,7,4,5
3,4,3,3
3,4,3,2
3,6,5,5
3,3,3,3
3,3,3,3
3,6,3,2
3,4,4,4
3,4,4,3
3,5,3,3
3,3,3,2
3,3,3,3
3,3,2,3
3,5,5,3
3,5,4,3
3,3,5,2
3,4,4,3
3,3,3,2
3,4,4,3
3,4,3,3
3,5,4,3
3,3,5,3
3,3,3,1
3,4,4,3
4,4,2,4
4,3,6,2
4,5,5,3
4,4,5,3
4,4,5,3
4,6,4,4
4,3,5,3
4,6,3,4
4,5,5,4
4,5,4,3
4,5,4,4
4,3,3,5
4,5,5,4
4,4,5,4
4,3,4,3
4,4,5,3
4,5,6,3
4,5,4,2
4,4,4,3
4,4,4,3
4,3,4,3
4,6,3,4
4,5,5,2
4,5,5,3
4,5,3,3
4,4,5,3
4,5,5,4
4,5,3,3
4,5,4,4
4,3,4,3
4,3,4,4
4,5,4,4
4,4,3,3
4,4,5,2
4,4,4,2
4,4,4,4
4,5,5,5
4,5,5,3
5,6,4,3
5,5,4,2
5,5,3,3
5,4,4,3
5,4,4,1
5,3,5,3
5,4,3,2
5,4,5,4
5,5,4,3
5,5,3,2
5,5,3,3
5,4,2,3
5,4,4,2
5,2,4,3
5,4,5,3
5,5,5,3
5,4,3,3
5,4,2,2
5,2,3,3
5,5,4,2
5,4,6,3
5,4,3,3
5,4,4,2
5,5,4,3
5,5,4,3
5,4,5,3
5,4,4,2
5,6,2,2
5,5,4,3
5,5,3,3
5,3,3,2
5,5,3,3
5,6,4,2
5,6,4,3
5,5,5,2
5,5,3,2
6,5,4,4
6,5,4,3
6,4,3,3
6,5,4,4
6,5,5,4
6,4,5,4
6,5,5,3
6,5,3,4
6,6,5,3
6,4,2,3
6,5,2,3
6,5,5,3
6,5,3,4
6,3,5,4
6,6,5,4
6,6,5,3
6,4,5,4
6,6,4,3
6,5,5,3
6,5,5,3
6,5,6,3
6,4,3,3
6,5,4,3
6,2,4,2
6,6,5,3
6,3,5,4
6,5,5,4
6,4,3,4
6,2,5,3
6,4,5,3
6,6,5,2
6,5,3,3
6,3,4,2
6,5,2,3
6,4,6,4
6,4,5,3
6,5,6,5
6,3,5,3
6,6,2,3
6,6,4,3
6,4,6,3
6,4,5,3
7,5,5,2
7,6,3,2
7,4,3,3
7,5,5,2
7,4,5,3
7,4,4,4
7,4,4,2
7,5,5,2
7,6,5,3
7,4,4,2
7,5,4,3
7,4,3,3
7,4,2,2
7,4,5,3
7,4,6,3
7,4,4,3
7,5,4,2
7,5,4,2
7,5,4,4
7,4,2,3
7,5,4,3
7,4,3,1
7,3,2,1
7,4,5,3
7,4,3,2
7,5,3,1
7,4,4,3
7,3,3,2
7,4,4,2
7,5,5,4
7,5,3,3
7,5,4,3
7,6,5,3
7,4,3,2
7,4,6,3
7,4,5,4
7,4,4,2
7,4,4,3
7,5,3,2
7,5,4,2
8,4,5,5
8,4,3,4
8,6,4,5
8,5,5,5
8,4,4,5
8,4,3,4
8,4,4,5
8,5,3,4
8,5,3,5
8,4,4,6
8,4,4,4
8,4,5,4
8,4,6,6
8,4,6,4
8,4,5,5
8,3,4,4
8,4,5,5
8,4,4,3
8,5,4,5
8,5,5,6
8,5,3,4
8,3,5,5
8,4,5,4
8,6,4,5
8,4,3,5
8,5,5,5
8,4,3,4
8,4,3,5
8,5,5,4
8,4,7,4
8,3,5,4
8,4,3,4
8,5,4,4
8,5,4,6
8,4,3,5
8,5,3,5
8,6,4,5
8,5,5,5
8,5,3,5
8,5,5,6
8,4,5,4
8,4,5,5
8,6,3,4
9,2,4,4
9,5,6,5
9,6,5,5
9,5,2,4
9,4,5,5
9,4,5,5
9,4,5,5
9,6,3,5
9,4,5,4
9,3,3,4
9,3,5,4
9,5,4,5
9,3,3,5
9,5,3,5
9,3,4,5
9,4,3,4
9,4,4,4
9,4,4,5
9,4,4,5
9,6,3,4
9,5,5,4
9,5,5,5
9,3,4,4
9,5,3,5
9,4,5,5
9,5,4,3
9,4,7,4
9,4,4,4
9,5,4,3
9,3,5,5
9,5,4,5
9,5,5,4
9,4,6,6
9,4,4,5
9,5,3,4
9,4,6,4
9,6,4,5
9,5,4,4
10,4,5,4
10,3,4,4
10,3,3,3
10,5,4,4
10,4,5,5
10,5,3,4
10,5,4,3
10,4,3,3
10,6,3,4
10,3,4,4
10,5,4,3
10,4,2,4
10,4,5,3
10,6,5,4
10,4,5,4
10,5,3,3
10,4,6,3
10,5,4,4
10,5,4,4
10,3,5,4
10,5,4,3
10,4,4,5
10,3,3,4
10,4,4,3
10,4,3,4
10,5,2,4
10,5,5,3
10,4,6,5
10,5,6,4
10,4,3,4
10,6,4,5
10,6,4,5
10,4,5,4
10,5,4,4
10,5,5,3
10,4,4,4
10,4,5,3
10,5,3,4
11,4,4,3
11,4,5,4
11,5,5,3
11,4,5,2
11,6,4,4
11,4,4,3
11,4,5,3
11,5,4,3
11,5,4,3
11,5,5,4
11,4,3,2
11,6,3,3
11,4,5,4
11,5,7,4
11,5,6,4
11,4,3,3
11,4,2,3
11,4,4,4
11,3,5,3
11,7,5,3
11,4,5,4
11,6,4,3
11,5,4,2
11,4,4,3
11,5,4,4
11,4,5,4
11,5,5,2
11,3,4,4
11,5,4,4
11,4,3,3
11,5,4,4
11,5,4,3
11,5,4,2
11,4,3,3
11,4,3,3
11,5,5,3
11,4,3,3
11,5,4,4
11,4,4,3
11,4,5,3
11,5,3,3
12,4,3,4
12,5,4,4
12,5,4,4
12,4,4,3
12,5,3,2
12,4,5,3
12,5,3,3
12,5,5,4
12,6,3,3
12,4,6,5
12,6,3,3
12,4,5,3
12,4,4,4
12,4,5,3
12,4,4,3
12,5,4,3
12,5,3,4
12,5,4,4
12,3,5,3
12,5,5,3
12,4,5,3
12,5,6,4
12,5,5,2
12,5,3,3
12,5,4,4
12,3,6,5
12,4,5,5
12,4,5,4
12,5,4,4
12,5,4,4
12,5,6,4
12,5,6,5
12,4,4,2
12,5,2,3
12,6,5,6
12,5,5,4
12,3,3,3
13,4,4,5
13,5,5,4
13,4,4,4
13,5,3,5
13,5,4,4
13,4,5,3
13,4,4,4
13,3,3,5
13,7,6,5
13,5,4,3
13,2,3,3
13,5,4,4
13,5,5,5
13,4,5,4
13,3,5,4
13,4,5,4
13,4,5,3
13,5,4,5
13,5,4,5
13,5,3,4
13,5,4,5
13,5,7,4
13,4,5,4
13,3,3,4
13,5,3,5
13,5,4,3
13,4,2,4
13,4,2,5
13,6,5,4
13,5,3,4
13,5,5,4
13,5,2,3
13,4,4,3
13,5,4,3
13,3,4,4
13,4,4,4
13,4,4,5
13,4,3,4
13,4,5,4
13,5,5,4
13,5,4,4
14,3,5,6
14,4,4,4
14,5,5,4
14,5,5,4
14,3,4,4
14,4,2,5
14,5,5,4
14,4,5,4
14,5,4,5
14,3,5,4
14,4,4,5
14,5,5,5
14,5,4,5
14,4,5,6
14,6,5,6
14,4,2,5
14,4,4,6
14,6,4,5
14,5,4,5
14,4,3,5
14,5,6,5
14,5,3,4
14,4,3,4
14,4,4,5
14,5,4,4
14,5,4,4
14,4,4,6
14,4,5,7
14,5,3,4
14,5,4,4
14,5,5,6
14,4,3,5
14,5,4,5
14,4,3,5
14,4,5,4
14,5,5,6
14,5,5,4
14,4,3,3
14,5,6,5
14,3,4,5
15,3,4,6
15,5,4,6
15,3,6,6
15,4,4,5
15,2,7,6
15,3,5,6
15,5,2,5
15,4,4,5
15,6,4,6
15,5,5,5
15,5,4,5
15,6,6,6
15,4,2,5
15,6,5,5
15,5,3,6
15,4,3,5
15,4,4,5
15,3,3,6
15,3,4,5
15,4,2,5
15,5,4,5
15,4,4,6
15,3,4,5
15,6,4,6
15,4,3,6
15,6,5,4
15,5,4,5
15,4,4,5
15,4,3,5
15,5,3,4
15,5,5,5
15,5,6,5
15,5,4,6
15,5,4,5
15,3,5,5
16,3,2,3
16,5,3,3
16,4,6,3
16,5,2,4
16,5,4,4
16,4,4,3
16,5,3,4
16,4,3,3
16,4,5,4
16,3,4,4
16,3,4,5
16,6,2,3
16,5,3,3
16,3,3,2
16,4,4,3
16,4,4,3
16,4,4,3
16,4,4,4
16,6,4,5
16,3,5,3
16,4,3,3
16,5,4,4
16,4,4,3
16,4,5,3
16,4,4,4
16,4,4,3
16,4,4,4
16,4,3,3
16,4,5,3
16,5,4,4
16,5,5,4
16,4,4,2
16,3,3,3
16,6,4,3
16,4,5,4
16,3,4,3
16,5,5,4
16,5,4,3
16,5,4,3
16,4,6,4
17,4,5,4
17,3,4,4
17,4,5,4
17,5,4,3
17,3,2,4
17,5,5,4
17,5,5,4
17,4,5,3
17,5,6,3
17,5,5,4
17,4,5,4
17,6,4,3
17,3,4,3
17,4,4,3
17,4,4,4
17,5,2,3
17,5,6,4
17,4,3,3
17,5,3,4
17,5,4,4
17,4,2,3
17,4,4,4
17,4,3,4
17,4,3,4
17,6,4,4
17,5,4,4
17,5,3,4
17,4,4,4
17,3,5,3
17,5,4,3
17,5,3,4
17,5,3,3
17,5,4,5
17,4,3,4
17,6,5,4
17,6,5,3
17,6,4,3
17,5,5,5
17,5,4,5
17,4,3,4
17,3,3,4
18,5,5,6
18,5,5,5
18,3,4,3
18,3,4,5
18,4,2,5
18,5,4,6
18,5,4,5
18,6,3,5
18,4,4,5
18,4,4,4
18,5,5,5
18,5,4,6
18,4,4,4
18,5,7,5
18,3,4,4
18,5,4,6
18,4,5,4
18,4,4,4
18,4,4,5
18,5,6,6
18,4,1,4
18,4,4,4
18,5,4,6
18,3,5,5
18,5,5,6
18,4,3,6
18,5,2,5
18,5,4,5
18,5,5,6
18,3,4,5
18,4,5,6
18,4,2,5
18,4,4,5
18,5,4,5
18,4,4,6
18,5,4,5
18,4,4,5
18,6,3,6
19,3,4,3
19,4,5,3
19,3,4,3
19,4,3,2
19,4,5,2
19,6,5,4
19,4,4,4
19,3,4,3
19,3,5,4
19,4,5,3
19,4,4,2
19,4,5,3
19,4,2,2
19,5,4,3
19,3,4,2
19,6,4,2
19,5,5,3
19,4,3,1
19,5,5,3
19,4,3,2
19,4,3,3
19,5,5,3
19,5,3,1
19,5,4,4
19,3,4,3
19,5,4,4
19,5,3,3
19,5,4,3
19,4,3,2
19,5,1,2
19,5,5,2
19,3,6,3
19,5,4,2
19,3,4,3
19,4,6,3
19,4,3,2
19,5,6,4
19,3,4,3
19,4,3,4
19,4,4,3
19,4,4,3
19,4,3,1
19,5,3,2
20,5,5,4
20,4,4,4
20,3,4,4
20,6,5,4
20,4,3,4
20,5,6,5
20,4,4,6
20,6,1,4
20,4,4,4
20,5,5,5
20,6,4,5
20,4,5,5
20,3,2,4
20,5,4,4
20,4,5,5
20,4,3,3
20,5,4,4
20,5,4,4
20,3,3,5
20,5,5,5
20,5,4,5
20,4,4,4
20,4,4,4
20,3,6,6
20,2,5,5
20,5,2,4
20,4,4,4
20,3,6,6
20,3,4,4
20,4,3,4
20,4,2,3
20,4,3,5
20,5,5,5
20,4,3,4
20,4,2,4
20,5,5,5
20,6,5,5
21,4,4,3
21,4,5,4
21,5,4,4
21,3,3,2
21,5,4,3
21,5,5,3
21,4,5,4
21,3,4,2
21,5,4,4
21,4,5,4
21,3,4,3
21,5,5,2
21,6,4,4
21,6,3,4
21,5,4,3
21,4,4,3
21,3,4,3
21,5,3,3
21,4,4,3
21,4,4,3
21,3,3,3
21,5,4,4
21,5,4,4
21,2,6,2
21,4,4,3
21,4,4,3
21,6,5,3
21,5,4,2
21,4,3,3
21,5,3,4
21,4,5,4
21,6,4,4
21,4,5,3
21,4,4,3
21,5,4,3
21,5,3,3
21,5,5,3
21,5,5,3
21,4,3,3
21,3,6,4
21,5,4,3
21,3,5,3
21,5,4,3
21,5,5,3
21,5,4,3
21,4,7,4
22,4,3,5
22,4,3,4
22,5,4,4
22,4,4,3
22,3,3,4
22,3,5,4
22,5,6,5
22,5,3,4
22,4,4,3
22,3,4,5
22,4,4,4
22,5,3,4
22,6,5,4
22,3,3,4
22,4,7,4
22,4,4,4
22,6,4,3
22,6,3,3
22,4,6,4
22,5,4,5
22,4,4,4
22,4,5,4
22,5,3,2
22,6,3,4
22,3,6,4
22,5,2,4
22,4,3,4
22,4,5,3
22,5,6,3
22,5,3,5
22,5,5,4
22,4,5,4
22,6,3,4
22,4,3,4
22,5,5,5
22,4,4,4
22,6,3,4
22,4,4,3
22,5,3,4
22,5,5,3
23,5,6,5
23,4,4,6
23,6,4,5
23,3,3,3
23,4,4,4
23,5,5,5
23,6,5,5
23,5,6,5
23,4,4,5
23,5,3,5
23,4,5,5
23,4,5,5
23,5,5,6
23,3,4,5
23,4,4,5
23,5,3,3
23,6,5,5
23,3,4,5
23,3,4,4
23,5,3,4
23,4,5,5
23,4,3,4
23,6,2,5
23,4,4,5
23,5,2,3
23,5,5,6
23,4,5,4
23,4,3,4
23,5,5,4
23,5,6,7
23,5,5,5
23,5,5,5
23,3,5,5
23,5,5,5
23,4,5,5
23,5,4,5
23,5,3,5
23,5,4,6
23,5,4,4
23,6,4,4
23,5,4,5
23,4,4,6
24,5,4,3
24,5,2,3
24,3,2,2
24,4,5,2
24,5,5,3
24,4,4,2
24,5,4,3
24,4,3,2
24,4,3,3
24,3,4,2
24,4,5,1
24,6,5,3
24,5,5,2
24,5,5,3
24,5,4,2
24,5,4,3
24,4,6,4
24,4,3,3
24,5,5,3
24,4,4,3
24,5,5,3
24,4,3,2
24,4,4,2
24,5,4,4
24,3,4,3
24,5,4,3
24,5,3,3
24,5,6,2
24,3,5,2
24,4,2,2
24,4,4,3
24,6,6,2
24,4,5,3
24,4,4,2
24,4,5,3
24,4,2,3
24,4,4,3
24,4,4,2
24,4,3,1
24,4,4,3
24,5,3,3
24,3,4,3
25,6,2,3
25,5,3,4
25,6,5,4
25,3,4,4
25,5,3,3
25,3,5,4
25,6,3,3
25,6,3,4
25,6,4,4
25,5,6,5
25,5,4,3
25,4,3,3
25,7,4,4
25,4,4,2
25,4,4,4
25,4,5,4
25,5,7,4
25,5,4,4
25,4,3,3
25,4,4,4
25,5,3,2
25,5,6,4
25,3,4,4
25,5,5,4
25,7,4,4
25,5,4,4
25,6,4,4
25,5,4,4
25,3,6,4
25,5,4,3
25,4,4,4
25,6,6,3
25,5,3,3
25,5,3,4
25,4,4,4
25,5,3,3
25,3,4,3
25,5,4,4
25,5,4,3
26,5,5,5
26,4,4,4
26,4,6,4
26,6,4,4
26,4,5,3
26,5,4,2
26,6,4,3
26,4,5,2
26,5,3,3
26,4,5,3
26,4,5,3
26,5,4,3
26,4,4,2
26,7,2,2
26,5,5,4
26,3,5,3
26,6,3,4
26,7,4,4
26,4,2,3
26,4,5,3
26,5,4,3
26,5,3,4
26,2,5,4
26,5,5,3
26,4,4,4
26,5,4,3
26,4,5,4
26,6,5,3
26,4,3,4
26,4,6,3
26,4,5,3
26,5,2,3
26,6,5,4
26,6,5,3
26,4,5,4
26,4,3,2
26,5,4,2
26,5,5,4
26,4,5,3
26,5,3,3
27,5,5,5
27,4,2,4
27,6,4,6
27,4,5,4
27,5,4,5
27,5,4,4
27,4,5,6
27,5,4,5
27,5,4,5
27,5,5,4
27,4,5,4
27,4,5,3
27,7,5,5
27,4,5,3
27,5,5,5
27,4,6,4
27,2,4,4
27,5,5,4
27,5,5,4
27,6,4,4
27,5,6,4
27,4,4,4
27,5,3,5
27,4,4,5
27,6,4,4
27,6,6,5
27,2,6,4
27,6,3,3
27,5,5,4
27,5,4,4
27,4,3,4
27,5,4,3
27,2,6,5
27,4,5,4
27,5,4,5
27,5,4,3
27,5,4,5
27,4,2,4
27,5,3,4
27,5,4,5
27,4,3,5
27,4,6,3
28,4,4,3
28,5,3,4
28,4,4,5
28,3,4,5
28,5,4,6
28,3,6,5
28,4,5,5
28,4,4,5
28,5,5,5
28,5,6,5
28,4,4,5
28,4,2,4
28,4,4,4
28,4,3,4
28,5,3,6
28,5,4,6
28,5,5,7
28,5,6,7
28,5,4,5
28,4,1,3
28,3,4,5
28,4,4,7
28,4,4,5
28,4,3,6
28,4,3,5
28,3,4,5
28,3,4,4
28,5,5,6
28,4,3,6
28,5,4,6
28,4,3,5
28,4,3,5
28,4,4,5
28,5,4,6
28,5,4,6
28,6,3,6
28,2,3,5
28,4,3,5
28,5,5,5
28,5,4,5
28,4,4,5
28,4,3,4
28,5,4,4
29,3,6,3
29,5,5,3
29,5,5,2
29,5,2,2
29,5,5,3
29,5,5,4
29,3,3,1
29,6,4,3
29,4,2,3
29,4,4,2
29,5,4,3
29,4,4,3
29,5,3,2
29,4,4,3
29,3,3,2
29,4,5,2
29,5,6,3
29,3,4,3
29,4,3,2
29,4,5,3
29,4,3,3
29,4,5,2
29,4,5,2
29,3,3,3
29,6,4,3
29,5,5,3
29,5,4,3
29,4,4,3
29,4,3,3
29,4,4,3
29,5,3,2
29,3,3,1
29,5,3,3
29,4,3,3
29,4,5,3
29,4,4,3
29,4,4,2
29,6,6,2
29,5,5,3
29,4,5,2
29,5,4,3
30,5,3,2
30,4,5,3
30,5,5,2
30,3,3,2
30,5,5,2
30,4,4,3
30,3,3,3
30,4,5,2
30,5,5,3
30,4,3,2
30,4,3,3
30,3,6,3
30,4,4,4
30,4,3,2
30,4,3,3
30,3,5,3
30,5,5,2
30,6,5,2
30,6,3,3
30,4,3,2
30,3,4,2
30,4,4,2
30,5,5,3
30,3,6,3
30,5,4,3
30,3,4,3
30,5,5,1
30,5,3,2
30,4,5,2
30,4,6,3
30,5,4,3
30,4,4,3
30,3,6,3
30,5,6,4
30,6,4,3
31,4,4,3
31,4,5,4
31,4,4,2
31,5,4,3
31,3,4,2
31,5,4,4
31,4,3,3
31,4,5,3
31,3,4,1
31,4,3,3
31,4,5,2
31,3,4,2
31,4,6,3
31,3,4,2
31,5,5,2
31,4,6,3
31,6,3,2
31,6,5,3
31,5,4,3
31,3,3,3
31,4,5,3
31,5,4,3
31,5,3,2
31,5,5,2
31,4,4,2
31,4,3,3
31,4,4,2
31,5,5,2
31,5,5,3
31,5,5,2
31,5,5,3
31,5,4,3
31,5,4,3
31,5,4,3
31,4,5,3
31,3,4,3
32,4,4,2
32,5,4,3
32,5,2,3
32,3,3,3
32,4,6,3
32,3,5,4
32,5,5,3
32,6,6,3
32,3,5,3
32,5,5,5
32,3,5,3
32,4,3,1
32,2,4,3
32,4,4,2
32,5,4,4
32,3,5,4
32,3,4,3
32,5,2,3
32,3,4,4
32,6,4,3
32,5,4,3
32,4,4,1
32,3,2,3
32,5,3,2
32,3,5,3
32,5,2,3
32,5,7,4
32,3,6,2
32,5,3,2
32,4,7,4
32,5,4,4
32,4,4,3
32,5,3,3
32,4,4,3
32,5,3,3
32,5,5,3
32,4,3,3
32,5,4,2
32,4,6,4
33,4,5,4
33,4,4,3
33,4,5,4
33,5,5,3
33,3,4,2
33,5,2,3
33,3,4,3
33,4,4,3
33,4,3,3
33,4,4,2
33,3,3,2
33,4,5,4
33,3,4,3
33,4,5,4
33,4,3,4
33,4,4,5
33,6,3,4
33,4,3,4
33,4,3,3
33,4,3,2
33,6,6,4
33,4,5,4
33,4,3,2
33,5,5,3
33,4,3,3
33,6,4,4
33,5,3,3
33,5,6,3
33,5,4,4
33,5,3,3
33,4,5,3
33,4,5,2
33,4,4,3
33,5,3,4
33,5,3,4
33,5,4,4
33,4,6,4
33,4,4,4
33,4,5,4
33,4,4,3
33,5,5,3
33,6,2,4
